ano,rodada,mandante,visitante,gol_prev_mandante,gol_prev_visitante,previsao
2022,18,Santos Fc,Botafogo,1,0,Mandante
2022,18,Cuiabá,Atlético Mineiro,0,1,Visitante
2022,18,America,Palmeiras,0,1,Visitante
2022,19,São Paulo,Goiás,1,0,Mandante
2022,19,Botafogo,Athletico Paranaense,0,1,Visitante
2022,19,Avaí,Flamengo,0,1,Visitante
2022,19,Juventude,Ceará,0,1,Visitante
2022,19,Fluminense,Red Bull Bragantino,1,0,Mandante
2022,19,Palmeiras,Internacional,1,0,Mandante
2022,19,Atlético Mineiro,Corinthians,0,0,Empate
2022,19,Atlético Goianiense,America,0,0,Empate
2022,19,Fortaleza,Santos Fc,0,1,Visitante
2022,19,Coritiba,Cuiabá,0,1,Visitante
2022,20,Goiás,Coritiba,0,0,Empate
2022,20,Ceará,Palmeiras,0,1,Visitante
2022,20,Corinthians,Botafogo,1,0,Mandante
2022,20,Flamengo,Atlético Goianiense,1,0,Mandante
2022,20,Internacional,Atlético Mineiro,0,0,Empate
2022,20,Athletico Paranaense,São Paulo,0,0,Empate
2022,20,America,Avaí,0,0,Empate
2022,20,Cuiabá,Fortaleza,0,0,Empate
2022,20,Red Bull Bragantino,Juventude,1,0,Mandante
2022,20,Santos Fc,Fluminense,0,1,Visitante
2022,21,Botafogo,Ceará,0,1,Visitante
2022,21,Juventude,America,0,1,Visitante
2022,21,Avaí,Corinthians,0,1,Visitante
2022,21,Atlético Goianiense,Red Bull Bragantino,0,1,Visitante
2022,21,São Paulo,Flamengo,0,1,Visitante
2022,21,Palmeiras,Goiás,1,0,Mandante
2022,21,Fluminense,Cuiabá,1,0,Mandante
2022,21,Fortaleza,Internacional,0,1,Visitante
2022,21,Atlético Mineiro,Athletico Paranaense,0,1,Visitante
2022,21,Coritiba,Santos Fc,0,1,Visitante
2022,22,Goiás,Avaí,1,0,Mandante
2022,22,Corinthians,Palmeiras,0,1,Visitante
2022,22,Cuiabá,Juventude,0,0,Empate
2022,22,Botafogo,Atlético Goianiense,1,0,Mandante
2022,22,Coritiba,Atlético Mineiro,0,1,Visitante
2022,22,Ceará,Fortaleza,0,0,Empate
2022,22,São Paulo,Red Bull Bragantino,0,0,Empate
2022,22,Flamengo,Athletico Paranaense,0,0,Empate
2022,22,America,Santos Fc,0,1,Visitante
2022,22,Internacional,Fluminense,0,1,Visitante
2022,23,Atlético Mineiro,Goiás,1,0,Mandante
2022,23,Fluminense,Coritiba,1,0,Mandante
2022,23,Juventude,Botafogo,0,1,Visitante
2022,23,Palmeiras,Flamengo,1,0,Mandante
2022,23,Atlético Goianiense,Cuiabá,0,0,Empate
2022,23,Red Bull Bragantino,Ceará,0,0,Empate
2022,23,Athletico Paranaense,America,1,0,Mandante
2022,23,Fortaleza,Corinthians,0,1,Visitante
2022,23,Santos Fc,São Paulo,0,0,Empate
2022,23,Avaí,Internacional,0,1,Visitante
2022,24,Coritiba,Avaí,0,0,Empate
2022,24,Goiás,Atlético Goianiense,1,0,Mandante
2022,24,Fluminense,Palmeiras,0,1,Visitante
2022,24,Ceará,Athletico Paranaense,0,1,Visitante
2022,24,São Paulo,Fortaleza,0,0,Empate
2022,24,America,Atlético Mineiro,0,0,Empate
2022,24,Botafogo,Flamengo,0,1,Visitante
2022,24,Cuiabá,Santos Fc,0,1,Visitante
2022,24,Internacional,Juventude,1,0,Mandante
2022,24,Corinthians,Red Bull Bragantino,1,0,Mandante
2022,25,Juventude,Avaí,0,0,Empate
2022,25,Athletico Paranaense,Fluminense,0,1,Visitante
2022,25,Red Bull Bragantino,Palmeiras,0,1,Visitante
2022,25,America,Coritiba,1,0,Mandante
2022,25,Flamengo,Ceará,1,0,Mandante
2022,25,Fortaleza,Botafogo,1,0,Mandante
